"#","Time, Bangladesh Time","Temp, *C","RH, %","DewPt, *C","Water Cont, m^3/m^3","PAR, uE","Rain, mm","Batt, V"
75,7/7/15 09:50:00,18.89,71.00,13.54,0.2895,1696,0.0,4.34
76,7/7/15 10:00:00,18.01,71.40,12.78,0.2895,1401,0.0,4.32
77,7/7/15 10:10:00,17.77,73.10,12.91,0.2890,1349,0.0,4.33
78,7/7/15 10:20:00,18.32,73.00,13.41,0.2887,1166,0.0,4.34
79,7/7/15 10:30:00,18.94,72.70,13.95,0.2884,1236,0.0,4.34
80,7/7/15 10:40:00,18.94,71.70,13.73,0.2884,1336,0.0,4.34
81,7/7/15 10:50:00,18.96,71.40,13.69,0.2874,1626,0.0,4.34
82,7/7/15 11:00:00,20.13,70.50,14.61,0.2874,1554,0.0,4.33
83,7/7/15 11:10:00,20.94,68.00,14.83,0.2874,2251,0.0,4.34
84,7/7/15 11:20:00,19.51,67.00,13.24,0.2861,2221,0.0,4.34
85,7/7/15 11:30:00,20.51,68.50,14.53,0.2857,2121,0.0,4.34
86,7/7/15 11:40:00,20.32,65.80,13.73,0.2857,2046,0.0,4.34
87,7/7/15 11:50:00,20.22,64.30,13.28,0.2847,1809,0.0,4.34
88,7/7/15 12:00:00,19.96,65.80,13.39,0.2847,1666,0.0,4.33
89,7/7/15 12:10:00,20.46,66.30,13.98,0.2847,1616,0.0,4.34
90,7/7/15 12:20:00,20.53,67.20,14.26,0.2840,1734,0.0,4.34
91,7/7/15 12:30:00,21.10,66.30,14.59,0.2837,1476,0.0,4.34
92,7/7/15 12:40:00,21.94,61.90,14.32,0.2834,1676,0.0,4.34
93,7/7/15 12:50:00,21.51,61.20,13.74,0.2824,1946,0.0,4.34
94,7/7/15 13:00:00,21.60,62.80,14.23,0.2824,1674,0.0,4.33
95,7/7/15 13:10:00,22.49,60.20,14.41,0.2817,2074,0.0,4.34
96,7/7/15 13:20:00,20.84,61.70,13.24,0.2806,1726,0.0,4.34
97,7/7/15 13:30:00,20.56,64.30,13.60,0.2800,2349,0.0,4.34
98,7/7/15 13:40:00,21.56,62.90,14.21,0.2796,2366,0.0,4.34
99,7/7/15 13:50:00,22.44,61.60,14.72,0.2790,2554,0.0,4.34
100,7/7/15 14:00:00,20.86,59.60,12.73,0.2793,1889,0.0,4.33
101,7/7/15 14:10:00,21.94,59.90,13.82,0.2793,1719,0.0,4.34
102,7/7/15 14:20:00,21.03,61.30,13.32,0.2790,1226,0.0,4.34
103,7/7/15 14:30:00,21.63,59.20,13.34,0.2790,1179,0.0,4.34
104,7/7/15 14:40:00,20.96,58.60,12.56,0.2790,1079,0.0,4.34
105,7/7/15 14:50:00,20.53,64.60,13.65,0.2783,884,0.0,4.34
106,7/7/15 15:00:00,20.70,65.90,14.12,0.2783,886,0.0,4.34
107,7/7/15 15:10:00,19.65,67.80,13.56,0.2786,766,0.0,4.34
108,7/7/15 15:20:00,19.20,70.70,13.77,0.2780,644,0.0,4.34
109,7/7/15 15:30:00,19.13,71.30,13.83,0.2780,631,0.0,4.36
110,7/7/15 15:40:00,19.25,71.70,14.03,0.2780,589,0.0,4.36
111,7/7/15 15:50:00,19.34,70.90,13.95,0.2773,551,0.0,4.33
112,7/7/15 16:00:00,18.94,71.50,13.69,0.2773,451,0.0,4.34
113,7/7/15 16:10:00,18.49,72.90,13.55,0.2776,409,0.0,4.34
114,7/7/15 16:20:00,18.87,74.10,14.17,0.2773,366,0.0,4.34
115,7/7/15 16:30:00,17.65,75.60,13.31,0.2773,271,0.0,4.34
116,7/7/15 16:40:00,17.94,76.60,13.79,0.2776,236,0.0,4.34
117,7/7/15 16:50:00,17.84,77.20,13.81,0.2770,246,0.0,4.33
118,7/7/15 17:00:00,17.65,78.70,13.93,0.2773,239,0.0,4.34
119,7/7/15 17:10:00,17.51,77.80,13.61,0.2773,199,0.0,4.34
120,7/7/15 17:20:00,17.01,80.30,13.61,0.2770,189,0.0,4.34
121,7/7/15 17:30:00,16.80,82.40,13.80,0.2773,149,0.0,4.34
122,7/7/15 17:40:00,16.80,83.40,13.99,0.2776,111,0.0,4.34
123,7/7/15 17:50:00,16.68,83.60,13.91,0.2773,106,0.0,4.33
124,7/7/15 18:00:00,16.51,84.80,13.96,0.2776,71,0.0,4.34
125,7/7/15 18:10:00,16.25,85.60,13.85,0.2776,46,0.0,4.34
126,7/7/15 18:20:00,16.03,86.90,13.87,0.2776,44,0.0,4.34
127,7/7/15 18:30:00,15.80,88.30,13.88,0.2773,34,0.0,4.34
128,7/7/15 18:40:00,15.41,89.40,13.70,0.2776,24,0.0,4.34
129,7/7/15 18:50:00,15.49,90.40,13.94,0.2770,9,0.0,4.33
130,7/7/15 19:00:00,15.41,90.30,13.85,0.2773,1,0.0,4.34
131,7/7/15 19:10:00,15.01,90.10,13.41,0.2776,1,0.0,4.34
132,7/7/15 19:20:00,15.29,89.60,13.61,0.2773,1,0.0,4.34
133,7/7/15 19:30:00,15.13,88.90,13.33,0.2773,1,0.0,4.34
134,7/7/15 19:40:00,14.86,89.50,13.17,0.2766,1,0.0,4.34
135,7/7/15 19:50:00,14.46,91.70,13.14,0.2773,1,0.0,4.33
136,7/7/15 20:00:00,13.95,94.00,13.02,0.2834,1,0.0,4.34
137,7/7/15 20:10:00,13.81,95.20,13.07,0.2864,1,0.0,4.34
138,7/7/15 20:20:00,13.52,96.20,12.94,0.2884,1,0.0,4.34
139,7/7/15 20:30:00,13.62,96.60,13.10,0.2898,1,0.0,4.34
140,7/7/15 20:40:00,13.69,96.90,13.22,0.2919,1,0.0,4.34
141,7/7/15 20:50:00,13.50,97.10,13.06,0.2932,1,0.0,4.33
142,7/7/15 21:00:00,13.21,97.20,12.79,0.2938,1,0.0,4.33
143,7/7/15 21:10:00,13.31,97.20,12.89,0.2946,1,0.0,4.34
144,7/7/15 21:20:00,13.76,97.20,13.34,0.2946,1,0.0,4.34
145,7/7/15 21:30:00,13.40,97.10,12.97,0.2946,1,0.0,4.34
146,7/7/15 21:40:00,13.50,97.00,13.05,0.2952,1,0.0,4.32
147,7/7/15 21:50:00,13.50,97.10,13.06,0.2952,1,0.0,4.33
148,7/7/15 22:00:00,13.33,97.30,12.93,0.2952,1,0.0,4.33
149,7/7/15 22:10:00,13.38,97.40,12.99,0.2955,1,0.0,4.34
150,7/7/15 22:20:00,13.16,97.40,12.77,0.2955,1,0.0,4.34
151,7/7/15 22:30:00,13.38,97.30,12.97,0.2963,1,0.0,4.34
152,7/7/15 22:40:00,13.18,97.30,12.78,0.2970,1,0.0,4.32
153,7/7/15 22:50:00,13.18,97.50,12.81,0.2970,1,0.0,4.36
154,7/7/15 23:00:00,13.31,97.60,12.95,0.2973,1,0.0,4.33
155,7/7/15 23:10:00,13.33,97.80,13.00,0.2976,1,0.0,4.33
156,7/7/15 23:20:00,13.02,97.80,12.69,0.2976,1,0.0,4.33
157,7/7/15 23:30:00,13.18,97.90,12.88,0.2979,1,0.0,4.34
158,7/7/15 23:40:00,13.23,97.90,12.92,0.2990,1,0.0,4.32
159,7/7/15 23:50:00,13.21,97.90,12.90,0.2994,1,0.0,4.33
160,7/8/15 00:00:00,13.11,98.10,12.83,0.2997,1,0.0,4.33
161,7/8/15 00:10:00,13.16,98.10,12.88,0.3005,1,0.0,4.33
162,7/8/15 00:20:00,13.06,98.20,12.80,0.3008,1,0.0,4.34
163,7/8/15 00:30:00,13.09,98.20,12.83,0.3011,1,0.0,4.34
164,7/8/15 00:40:00,13.16,98.30,12.91,0.3015,1,0.0,4.33
165,7/8/15 00:50:00,13.18,98.30,12.94,0.3015,1,0.0,4.33
166,7/8/15 01:00:00,13.02,98.40,12.79,0.3015,1,0.0,4.33
167,7/8/15 01:10:00,13.09,98.50,12.87,0.3022,1,0.0,4.33
168,7/8/15 01:20:00,12.85,98.60,12.65,0.3019,1,0.0,4.34
169,7/8/15 01:30:00,12.87,98.60,12.67,0.3022,1,0.0,4.34
170,7/8/15 01:40:00,12.82,98.50,12.61,0.3026,1,0.0,4.33
171,7/8/15 01:50:00,13.02,98.50,12.80,0.3022,1,0.0,4.33
172,7/8/15 02:00:00,12.87,98.50,12.66,0.3026,1,0.0,4.33
173,7/8/15 02:10:00,12.97,98.60,12.77,0.3026,1,0.0,4.34
174,7/8/15 02:20:00,12.87,98.60,12.67,0.3022,1,0.0,4.34
175,7/8/15 02:30:00,12.80,98.40,12.57,0.3026,1,0.0,4.34
176,7/8/15 02:40:00,12.77,98.20,12.51,0.3026,1,0.0,4.33
177,7/8/15 02:50:00,12.82,98.30,12.58,0.3026,1,0.0,4.33
178,7/8/15 03:00:00,13.11,98.30,12.87,0.3026,1,0.0,4.33
179,7/8/15 03:10:00,12.85,98.30,12.60,0.3026,1,0.0,4.34
180,7/8/15 03:20:00,12.92,98.40,12.69,0.3022,1,0.0,4.34
181,7/8/15 03:30:00,12.77,98.50,12.56,0.3026,1,0.0,4.34
182,7/8/15 03:40:00,12.58,98.50,12.37,0.3026,1,0.0,4.33
183,7/8/15 03:50:00,12.56,98.30,12.31,0.3022,1,0.0,4.33
184,7/8/15 04:00:00,12.53,98.10,12.26,0.3022,1,0.0,4.33
185,7/8/15 04:10:00,12.53,98.10,12.26,0.3026,1,0.0,4.33
186,7/8/15 04:20:00,12.53,98.20,12.27,0.3022,1,0.0,4.34
187,7/8/15 04:30:00,12.49,98.30,12.24,0.3022,1,0.0,4.33
188,7/8/15 04:40:00,12.46,98.40,12.23,0.3022,1,0.0,4.35
189,7/8/15 04:50:00,12.53,98.50,12.32,0.3022,1,0.0,4.33
190,7/8/15 05:00:00,12.56,98.60,12.36,0.3022,1,0.0,4.33
191,7/8/15 05:10:00,12.39,98.50,12.17,0.3022,1,0.0,4.33
192,7/8/15 05:20:00,12.46,98.40,12.23,0.3022,11,0.0,4.33
193,7/8/15 05:30:00,12.49,98.30,12.24,0.3019,29,0.0,4.32
194,7/8/15 05:40:00,12.36,98.20,12.10,0.3022,41,0.0,4.33
195,7/8/15 05:50:00,12.39,98.00,12.10,0.3019,54,0.0,4.33
196,7/8/15 06:00:00,12.46,97.90,12.15,0.3019,69,0.0,4.33
197,7/8/15 06:10:00,12.61,97.70,12.27,0.3019,91,0.0,4.33
198,7/8/15 06:20:00,12.63,97.70,12.29,0.3015,129,0.0,4.34
199,7/8/15 06:30:00,13.09,97.50,12.72,0.3015,191,0.0,4.32
200,7/8/15 06:40:00,13.52,97.10,13.09,0.3015,284,0.0,4.33
201,7/8/15 06:50:00,13.95,95.00,13.18,0.3008,384,0.0,4.33
202,7/8/15 07:00:00,14.19,93.60,13.19,0.3005,396,0.0,4.33
203,7/8/15 07:10:00,14.10,92.80,12.97,0.3005,236,0.0,4.33
204,7/8/15 07:20:00,13.98,93.30,12.93,0.2997,201,0.0,4.33
205,7/8/15 07:30:00,13.62,94.40,12.75,0.2994,239,0.0,4.32
206,7/8/15 07:40:00,13.69,95.80,13.05,0.2990,284,0.0,4.33
207,7/8/15 07:50:00,14.07,95.20,13.33,0.2979,331,0.0,4.33
208,7/8/15 08:00:00,14.22,93.80,13.25,0.2976,326,0.0,4.33
209,7/8/15 08:10:00,14.41,93.60,13.41,0.2973,346,0.0,4.33
210,7/8/15 08:20:00,14.70,93.00,13.59,0.2966,374,0.0,4.33
211,7/8/15 08:30:00,14.31,91.30,12.93,0.2963,356,0.0,4.33
212,7/8/15 08:40:00,14.91,90.90,13.46,0.2959,346,0.0,4.33
213,7/8/15 08:50:00,14.98,89.60,13.31,0.2959,354,0.0,4.33
214,7/8/15 09:00:00,15.22,88.40,13.33,0.2963,389,0.0,4.33
215,7/8/15 09:10:00,15.63,86.80,13.45,0.2966,469,0.0,4.34
216,7/8/15 09:20:00,16.20,85.60,13.80,0.2959,561,0.0,4.34
217,7/8/15 09:30:00,16.96,83.30,14.13,0.2963,641,0.0,4.33
218,7/8/15 09:40:00,16.39,82.80,13.48,0.2963,731,0.0,4.33
219,7/8/15 09:50:00,16.72,83.40,13.92,0.2959,814,0.0,4.33
220,7/8/15 10:00:00,16.87,83.60,14.09,0.2959,886,0.0,4.33
221,7/8/15 10:10:00,17.15,82.90,14.24,0.2959,999,0.0,4.33
222,7/8/15 10:20:00,17.96,80.00,14.48,0.2955,1231,0.0,4.32
223,7/8/15 10:30:00,18.96,73.50,14.14,0.2955,1359,0.0,4.32
224,7/8/15 10:40:00,18.39,72.60,13.40,0.2959,1414,0.0,4.33
225,7/8/15 10:50:00,19.32,72.40,14.25,0.2952,1316,0.0,4.33
226,7/8/15 11:00:00,19.37,72.10,14.23,0.2952,1266,0.0,4.33
227,7/8/15 11:10:00,20.03,71.10,14.65,0.2952,1169,0.0,4.33
228,7/8/15 11:20:00,19.82,68.60,13.89,0.2949,1076,0.0,4.32
229,7/8/15 11:30:00,20.53,66.10,14.00,0.2946,1444,0.0,4.33
230,7/8/15 11:40:00,21.58,63.70,14.43,0.2938,1919,0.0,4.33
231,7/8/15 11:50:00,21.94,62.90,14.57,0.2932,2524,0.0,4.33
232,7/8/15 12:00:00,20.75,64.10,13.73,0.2922,2296,0.0,4.33
233,7/8/15 12:10:00,20.79,64.60,13.90,0.2922,2554,0.0,4.33
234,7/8/15 12:20:00,20.60,64.00,13.57,0.2914,2554,0.0,4.32
235,7/8/15 12:30:00,21.70,64.40,14.71,0.2911,2169,0.0,4.33
236,7/8/15 12:40:00,21.60,63.90,14.50,0.2908,2554,0.0,4.33
237,7/8/15 12:50:00,23.21,60.60,15.19,0.2898,2279,0.0,4.33
238,7/8/15 13:00:00,21.56,60.20,13.53,0.2908,1174,0.0,4.33
239,7/8/15 13:10:00,21.65,61.70,14.00,0.2898,1504,0.0,4.33
240,7/8/15 13:20:00,20.41,61.00,12.66,0.2898,1039,0.0,4.33
241,7/8/15 13:30:00,20.58,61.00,12.82,0.2898,771,0.0,4.33
242,7/8/15 13:40:00,20.41,62.50,13.03,0.2887,784,0.0,4.33
243,7/8/15 13:50:00,20.03,63.50,12.91,0.2887,771,0.0,4.33
244,7/8/15 14:00:00,20.51,64.80,13.67,0.2887,746,0.0,4.34
245,7/8/15 14:10:00,20.41,66.30,13.94,0.2884,739,0.0,4.34
246,7/8/15 14:20:00,20.41,67.50,14.21,0.2881,774,0.0,4.33
247,7/8/15 14:30:00,19.79,68.30,13.80,0.2881,776,0.0,4.33
248,7/8/15 14:40:00,19.75,69.70,14.07,0.2877,821,0.0,4.33
249,7/8/15 14:50:00,20.25,69.70,14.55,0.2874,961,0.0,4.33
250,7/8/15 15:00:00,20.15,68.00,14.08,0.2871,916,0.0,4.33
251,7/8/15 15:10:00,19.58,68.50,13.65,0.2871,664,0.0,4.33
252,7/8/15 15:20:00,19.29,69.90,13.68,0.2874,516,0.0,4.33
253,7/8/15 15:30:00,19.29,72.10,14.16,0.2871,481,1.0,4.33
254,7/8/15 15:40:00,18.25,75.70,13.90,0.2868,414,0.0,4.34
255,7/8/15 15:50:00,17.56,77.80,13.66,0.2864,336,0.0,4.34
256,7/8/15 16:00:00,17.27,79.90,13.79,0.2868,316,0.0,4.34
257,7/8/15 16:10:00,17.37,80.50,14.00,0.2857,329,0.0,4.32
258,7/8/15 16:20:00,17.25,80.90,13.96,0.2861,296,0.0,4.33
259,7/8/15 16:30:00,17.13,81.90,14.03,0.2864,279,0.0,4.34
260,7/8/15 16:40:00,17.34,84.20,14.67,0.2857,306,0.0,4.34
261,7/8/15 16:50:00,16.72,86.30,14.44,0.2864,279,0.0,4.34
262,7/8/15 17:00:00,16.49,88.40,14.58,0.2898,296,0.0,4.34
263,7/8/15 17:10:00,15.91,90.60,14.40,0.2908,281,0.0,4.32
264,7/8/15 17:20:00,16.27,90.80,14.79,0.2922,229,0.0,4.33
265,7/8/15 17:30:00,16.03,89.60,14.34,0.2928,226,0.0,4.33
266,7/8/15 17:40:00,15.75,90.60,14.23,0.2925,224,0.0,4.34
267,7/8/15 17:50:00,15.65,90.30,14.09,0.2925,201,0.0,4.34
268,7/8/15 18:00:00,15.70,90.70,14.20,0.2928,149,0.0,4.34
269,7/8/15 18:10:00,15.27,91.40,13.90,0.2925,91,0.0,4.33
270,7/8/15 18:20:00,15.37,92.00,14.09,0.2925,44,0.0,4.33
271,7/8/15 18:30:00,15.15,93.00,14.04,0.2928,24,0.0,4.33
272,7/8/15 18:40:00,15.06,94.10,14.13,0.2922,11,0.0,4.34
273,7/8/15 18:50:00,14.89,94.50,14.03,0.2925,6,0.0,4.34
274,7/8/15 19:00:00,15.29,95.10,14.53,0.2925,1,0.0,4.34
275,7/8/15 19:10:00,14.60,95.30,13.87,0.2922,1,0.0,4.33
276,7/8/15 19:20:00,14.82,95.40,14.11,0.2922,1,0.0,4.33
277,7/8/15 19:30:00,14.84,94.80,14.03,0.2922,1,0.0,4.33
278,7/8/15 19:40:00,15.15,94.10,14.23,0.2919,1,0.0,4.33
279,7/8/15 19:50:00,14.70,93.80,13.73,0.2919,1,0.0,4.33
280,7/8/15 20:00:00,14.72,94.80,13.91,0.2922,1,0.0,4.34
281,7/8/15 20:10:00,14.55,95.70,13.89,0.2919,1,0.0,4.33
282,7/8/15 20:20:00,14.48,95.80,13.84,0.2919,1,0.0,4.33
283,7/8/15 20:30:00,14.46,95.40,13.75,0.2919,1,0.0,4.33
284,7/8/15 20:40:00,14.51,95.50,13.81,0.2914,1,0.0,4.33
285,7/8/15 20:50:00,14.60,95.70,13.94,0.2914,1,0.0,4.33
286,7/8/15 21:00:00,14.51,95.90,13.88,0.2914,1,0.0,4.33
287,7/8/15 21:10:00,14.55,95.80,13.91,0.2911,1,0.0,4.33
288,7/8/15 21:20:00,14.51,95.70,13.84,0.2911,1,0.0,4.33
289,7/8/15 21:30:00,14.46,95.90,13.83,0.2914,1,0.0,4.33
290,7/8/15 21:40:00,14.48,95.90,13.85,0.2911,1,0.0,4.35
291,7/8/15 21:50:00,14.65,95.90,14.02,0.2911,1,0.0,4.33
292,7/8/15 22:00:00,14.58,96.00,13.96,0.2911,1,0.0,4.35
293,7/8/15 22:10:00,14.43,95.50,13.74,0.2908,1,0.0,4.32
294,7/8/15 22:20:00,14.36,95.50,13.67,0.2904,1,0.0,4.33
295,7/8/15 22:30:00,14.17,95.90,13.54,0.2908,1,0.0,4.33
296,7/8/15 22:40:00,14.34,96.40,13.79,0.2904,1,0.0,4.33
297,7/8/15 22:50:00,14.24,97.20,13.82,0.2922,1,0.0,4.33
298,7/8/15 23:00:00,14.22,97.60,13.86,0.2952,1,0.0,4.32
299,7/8/15 23:10:00,14.15,97.90,13.84,0.2990,1,0.0,4.33
300,7/8/15 23:20:00,13.98,98.10,13.70,0.3069,1,0.0,4.33
301,7/8/15 23:30:00,14.19,98.30,13.95,0.3168,1,0.0,4.33
302,7/8/15 23:40:00,13.81,98.30,13.56,0.3261,1,0.0,4.33
303,7/8/15 23:50:00,13.59,98.30,13.35,0.3299,1,0.0,4.33
304,7/9/15 00:00:00,13.50,98.20,13.24,0.3312,1,0.0,4.32
305,7/9/15 00:10:00,13.18,97.90,12.88,0.3312,1,0.0,4.33
306,7/9/15 00:20:00,13.21,97.70,12.87,0.3312,1,0.0,4.33
307,7/9/15 00:30:00,12.99,97.90,12.68,0.3304,1,0.0,4.33
308,7/9/15 00:40:00,12.92,98.00,12.63,0.3312,1,0.0,4.33
309,7/9/15 00:50:00,12.82,98.10,12.55,0.3308,1,0.0,4.33
310,7/9/15 01:00:00,12.70,98.00,12.41,0.3312,1,0.0,4.32
311,7/9/15 01:10:00,12.56,98.10,12.28,0.3312,1,0.0,4.33
312,7/9/15 01:20:00,12.51,98.20,12.25,0.3321,1,0.0,4.33
313,7/9/15 01:30:00,12.29,98.50,12.08,0.3326,1,0.0,4.33
314,7/9/15 01:40:00,12.41,98.50,12.20,0.3352,1,0.0,4.33
315,7/9/15 01:50:00,12.32,98.60,12.12,0.3361,1,0.0,4.33
316,7/9/15 02:00:00,12.29,98.60,12.09,0.3384,1,0.0,4.32
317,7/9/15 02:10:00,12.27,98.80,12.10,0.3403,1,0.0,4.33
318,7/9/15 02:20:00,12.29,98.80,12.12,0.3399,1,0.0,4.33
319,7/9/15 02:30:00,12.19,98.80,12.03,0.3384,1,0.0,4.33
320,7/9/15 02:40:00,12.15,99.00,12.01,0.3380,1,0.0,4.33
321,7/9/15 02:50:00,12.15,99.00,12.01,0.3376,1,0.0,4.33
322,7/9/15 03:00:00,12.17,99.10,12.05,0.3361,1,0.0,4.34
323,7/9/15 03:10:00,12.12,99.10,12.00,0.3348,1,0.0,4.35
324,7/9/15 03:20:00,12.12,99.10,12.00,0.3335,1,0.0,4.33
325,7/9/15 03:30:00,11.90,99.10,11.78,0.3326,1,0.0,4.33
326,7/9/15 03:40:00,11.83,99.10,11.71,0.3317,1,0.0,4.33
327,7/9/15 03:50:00,11.71,99.00,11.57,0.3312,1,0.0,4.33
328,7/9/15 04:00:00,11.49,99.10,11.37,0.3304,1,0.0,4.32
329,7/9/15 04:10:00,11.39,99.00,11.26,0.3295,1,0.0,4.33
330,7/9/15 04:20:00,11.37,99.00,11.23,0.3290,1,0.0,4.33
331,7/9/15 04:30:00,11.10,98.80,10.93,0.3282,1,0.0,4.33
332,7/9/15 04:40:00,11.03,98.80,10.86,0.3277,1,0.0,4.33
333,7/9/15 04:50:00,10.91,98.80,10.74,0.3274,1,0.0,4.32
334,7/9/15 05:00:00,10.66,98.80,10.49,0.3269,1,0.0,4.32
335,7/9/15 05:10:00,10.64,98.90,10.48,0.3261,4,0.0,4.33
336,7/9/15 05:20:00,10.69,98.80,10.52,0.3256,9,0.0,4.33
