"Plot Title: b0004a15"
"#","Date Time, GMT+06:00","H08 Temp., °F (LGR S/N: 368110)","H08 High Res. Temp., °F (LGR S/N: 368110)","GCap. RH, % (LGR S/N: 368110)"
94,05/18/03 09:00:00 AM,62.85,62.82,49.70
95,05/18/03 10:00:00 AM,69.71,69.53,36.50
96,05/18/03 11:00:00 AM,71.08,71.08,35.50
97,05/18/03 12:00:00 PM,68.34,68.68,40.50
98,05/18/03 01:00:00 PM,71.76,71.82,35.00
99,05/18/03 02:00:00 PM,71.76,71.47,36.50
100,05/18/03 03:00:00 PM,72.46,72.37,37.50
101,05/18/03 04:00:00 PM,69.03,69.19,45.10
102,05/18/03 05:00:00 PM,67.66,67.69,50.20
103,05/18/03 06:00:00 PM,65.59,65.80,55.40
104,05/18/03 07:00:00 PM,62.85,63.07,64.10
105,05/18/03 08:00:00 PM,59.41,59.38,79.40
106,05/18/03 09:00:00 PM,57.36,57.09,86.70
107,05/18/03 10:00:00 PM,55.98,56.10,88.00
108,05/18/03 11:00:00 PM,54.59,54.75,96.70
109,05/19/03 12:00:00 AM,53.19,53.49,97.10
110,05/19/03 01:00:00 AM,52.48,52.75,99.80
111,05/19/03 02:00:00 AM,52.48,52.84,99.50
112,05/19/03 03:00:00 AM,53.19,53.19,98.10
113,05/19/03 04:00:00 AM,53.19,52.97,96.70
114,05/19/03 05:00:00 AM,52.48,52.57,101.10
115,05/19/03 06:00:00 AM,52.48,52.39,96.30
116,05/19/03 07:00:00 AM,52.48,52.48,101.80
117,05/19/03 08:00:00 AM,53.19,52.88,94.50
118,05/19/03 09:00:00 AM,55.98,56.19,86.70
119,05/19/03 10:00:00 AM,57.36,57.70,77.00
120,05/19/03 11:00:00 AM,60.12,60.06,67.20
121,05/19/03 12:00:00 PM,63.54,63.63,60.00
122,05/19/03 01:00:00 PM,67.66,67.39,50.70
123,05/19/03 02:00:00 PM,68.34,68.25,50.70
124,05/19/03 03:00:00 PM,68.34,68.20,47.10
125,05/19/03 04:00:00 PM,66.96,66.88,53.30
126,05/19/03 05:00:00 PM,65.59,65.89,53.30
127,05/19/03 06:00:00 PM,64.22,64.56,54.90
128,05/19/03 07:00:00 PM,62.17,61.86,63.10
129,05/19/03 08:00:00 PM,58.73,58.91,78.90
130,05/19/03 09:00:00 PM,58.73,58.48,82.60
131,05/19/03 10:00:00 PM,57.36,57.49,85.80
132,05/19/03 11:00:00 PM,56.66,56.79,84.50
133,05/20/03 12:00:00 AM,55.27,55.45,90.50
134,05/20/03 01:00:00 AM,55.27,55.02,89.20
135,05/20/03 02:00:00 AM,53.89,53.92,93.70
136,05/20/03 03:00:00 AM,53.19,53.01,96.00
137,05/20/03 04:00:00 AM,52.48,52.21,96.30
138,05/20/03 05:00:00 AM,50.38,50.56,97.80
139,05/20/03 06:00:00 AM,50.38,50.32,97.10
140,05/20/03 07:00:00 AM,51.78,52.05,92.50
141,05/20/03 08:00:00 AM,55.27,55.15,84.50
142,05/20/03 09:00:00 AM,58.05,58.05,76.10
143,05/20/03 10:00:00 AM,64.22,64.22,59.50
144,05/20/03 11:00:00 AM,69.71,69.71,43.50
145,05/20/03 12:00:00 PM,71.76,71.51,41.50
146,05/20/03 01:00:00 PM,71.76,71.64,42.50
147,05/20/03 02:00:00 PM,73.15,73.40,39.50
148,05/20/03 03:00:00 PM,73.15,73.06,38.50
149,05/20/03 04:00:00 PM,71.08,70.99,44.60
150,05/20/03 05:00:00 PM,66.96,67.30,52.80
151,05/20/03 06:00:00 PM,66.27,66.06,54.90
152,05/20/03 07:00:00 PM,64.22,64.53,59.50
153,05/20/03 08:00:00 PM,64.22,64.26,58.50
154,05/20/03 09:00:00 PM,62.85,63.19,60.00
155,05/20/03 10:00:00 PM,60.12,59.94,76.10
156,05/20/03 11:00:00 PM,58.05,58.26,76.10
157,05/21/03 12:00:00 AM,56.66,56.57,77.50
158,05/21/03 01:00:00 AM,53.89,53.80,84.00
159,05/21/03 02:00:00 AM,52.48,52.70,86.70
160,05/21/03 03:00:00 AM,52.48,52.45,87.50
161,05/21/03 04:00:00 AM,52.48,52.57,86.20
162,05/21/03 05:00:00 AM,52.48,52.70,85.80
163,05/21/03 06:00:00 AM,51.78,51.91,92.50
164,05/21/03 07:00:00 AM,52.48,52.45,94.50
165,05/21/03 08:00:00 AM,53.19,52.97,94.90
166,05/21/03 09:00:00 AM,54.59,54.50,88.40
167,05/21/03 10:00:00 AM,56.66,56.91,83.60
168,05/21/03 11:00:00 AM,61.48,61.74,67.20
169,05/21/03 12:00:00 PM,65.59,65.37,59.00
170,05/21/03 01:00:00 PM,65.59,65.89,53.30
171,05/21/03 02:00:00 PM,63.54,63.41,66.60
172,05/21/03 03:00:00 PM,64.22,64.53,59.00
173,05/21/03 04:00:00 PM,63.54,63.79,61.60
174,05/21/03 05:00:00 PM,61.48,61.65,67.70
175,05/21/03 06:00:00 PM,61.48,61.27,70.70
176,05/21/03 07:00:00 PM,60.12,60.24,76.50
177,05/21/03 08:00:00 PM,58.73,59.04,80.30
178,05/21/03 09:00:00 PM,58.05,58.30,83.60
179,05/21/03 10:00:00 PM,57.36,57.49,86.20
180,05/21/03 11:00:00 PM,56.66,56.75,89.20
181,05/22/03 12:00:00 AM,56.66,56.48,89.20
182,05/22/03 01:00:00 AM,55.98,55.80,91.70
183,05/22/03 02:00:00 AM,54.59,54.72,94.50
184,05/22/03 03:00:00 AM,53.89,53.98,96.30
185,05/22/03 04:00:00 AM,53.19,53.40,96.00
186,05/22/03 05:00:00 AM,51.78,51.60,99.20
187,05/22/03 06:00:00 AM,51.78,51.48,95.20
188,05/22/03 07:00:00 AM,53.89,53.74,94.50
189,05/22/03 08:00:00 AM,58.05,58.05,78.50
190,05/22/03 09:00:00 AM,62.85,62.64,65.60
191,05/22/03 10:00:00 AM,66.96,66.88,53.80
192,05/22/03 11:00:00 AM,72.46,72.41,42.00
193,05/22/03 12:00:00 PM,72.46,72.63,46.60
194,05/22/03 01:00:00 PM,73.15,73.49,42.00
195,05/22/03 02:00:00 PM,75.22,74.97,40.50
196,05/22/03 03:00:00 PM,74.53,74.32,42.50
197,05/22/03 04:00:00 PM,74.53,74.23,45.60
198,05/22/03 05:00:00 PM,71.76,71.60,48.10
199,05/22/03 06:00:00 PM,67.66,67.39,56.40
200,05/22/03 07:00:00 PM,66.27,66.33,56.40
201,05/22/03 08:00:00 PM,64.90,65.16,61.00
202,05/22/03 09:00:00 PM,62.85,62.55,73.10
203,05/22/03 10:00:00 PM,60.80,60.93,78.50
204,05/22/03 11:00:00 PM,59.41,59.72,79.40
205,05/23/03 12:00:00 AM,57.36,57.22,89.20
206,05/23/03 01:00:00 AM,55.98,55.76,89.70
207,05/23/03 02:00:00 AM,54.59,54.72,93.70
208,05/23/03 03:00:00 AM,54.59,54.36,90.90
209,05/23/03 04:00:00 AM,53.19,53.37,95.20
210,05/23/03 05:00:00 AM,53.19,53.40,93.70
211,05/23/03 06:00:00 AM,52.48,52.36,95.60
212,05/23/03 07:00:00 AM,53.89,53.89,92.10
213,05/23/03 08:00:00 AM,58.05,57.83,77.50
214,05/23/03 09:00:00 AM,64.22,64.09,60.50
215,05/23/03 10:00:00 AM,68.34,68.54,51.80
216,05/23/03 11:00:00 AM,69.71,69.40,50.20
217,05/23/03 12:00:00 PM,72.46,72.19,46.10
218,05/23/03 01:00:00 PM,73.15,73.27,47.10
219,05/23/03 02:00:00 PM,73.15,72.97,47.60
220,05/23/03 03:00:00 PM,69.71,69.71,53.30
221,05/23/03 04:00:00 PM,65.59,65.46,62.10
222,05/23/03 05:00:00 PM,68.34,68.20,55.90
223,05/23/03 06:00:00 PM,64.22,64.35,66.10
224,05/23/03 07:00:00 PM,62.85,62.82,70.70
225,05/23/03 08:00:00 PM,60.80,60.53,77.00
226,05/23/03 09:00:00 PM,59.41,59.29,83.60
227,05/23/03 10:00:00 PM,58.05,57.74,88.40
228,05/23/03 11:00:00 PM,56.66,56.97,89.70
229,05/24/03 12:00:00 AM,57.36,57.13,88.40
230,05/24/03 01:00:00 AM,56.66,56.66,89.70
231,05/24/03 02:00:00 AM,55.98,56.10,90.50
232,05/24/03 03:00:00 AM,55.98,55.80,92.10
233,05/24/03 04:00:00 AM,55.98,55.76,92.10
234,05/24/03 05:00:00 AM,55.98,55.98,88.40
235,05/24/03 06:00:00 AM,55.98,56.23,88.00
236,05/24/03 07:00:00 AM,58.05,58.08,83.60
237,05/24/03 08:00:00 AM,60.12,60.15,77.50
238,05/24/03 09:00:00 AM,62.85,63.07,70.20
239,05/24/03 10:00:00 AM,66.27,66.27,59.00
240,05/24/03 11:00:00 AM,69.71,69.44,49.20
241,05/24/03 12:00:00 PM,65.59,65.34,65.10
242,05/24/03 01:00:00 PM,70.39,70.70,53.30
243,05/24/03 02:00:00 PM,71.76,71.55,51.20
244,05/24/03 03:00:00 PM,71.08,70.77,52.30
245,05/24/03 04:00:00 PM,71.08,71.33,50.70
246,05/24/03 05:00:00 PM,70.39,70.27,52.30
247,05/24/03 06:00:00 PM,68.34,68.68,55.90
248,05/24/03 07:00:00 PM,65.59,65.77,62.10
249,05/24/03 08:00:00 PM,61.48,61.61,75.60
250,05/24/03 09:00:00 PM,60.12,60.06,80.80
251,05/24/03 10:00:00 PM,58.73,58.64,85.80
252,05/24/03 11:00:00 PM,58.05,58.14,86.70
253,05/25/03 12:00:00 AM,57.36,57.65,83.10
254,05/25/03 01:00:00 AM,54.59,54.36,100.50
255,05/25/03 02:00:00 AM,53.89,54.19,102.10
256,05/25/03 03:00:00 AM,53.89,54.10,98.50
257,05/25/03 04:00:00 AM,54.59,54.32,101.50
258,05/25/03 05:00:00 AM,54.59,54.66,100.20
259,05/25/03 06:00:00 AM,54.59,54.57,96.30
260,05/25/03 07:00:00 AM,55.27,55.53,97.80
261,05/25/03 08:00:00 AM,58.73,58.82,86.20
262,05/25/03 09:00:00 AM,60.80,60.84,79.90
263,05/25/03 10:00:00 AM,61.48,61.36,77.50
264,05/25/03 11:00:00 AM,62.85,62.67,69.70
265,05/25/03 12:00:00 PM,64.22,64.09,67.20
266,05/25/03 01:00:00 PM,64.90,65.25,64.60
267,05/25/03 02:00:00 PM,66.27,66.11,65.60
268,05/25/03 03:00:00 PM,66.96,66.74,61.00
269,05/25/03 04:00:00 PM,66.27,66.15,61.60
270,05/25/03 05:00:00 PM,66.27,66.40,59.50
271,05/25/03 06:00:00 PM,64.90,64.78,62.60
272,05/25/03 07:00:00 PM,62.85,63.03,66.10
273,05/25/03 08:00:00 PM,60.12,60.06,78.90
274,05/25/03 09:00:00 PM,59.41,59.13,81.30
275,05/25/03 10:00:00 PM,58.73,58.60,84.90
276,05/25/03 11:00:00 PM,58.05,57.78,88.40
277,05/26/03 12:00:00 AM,56.66,56.97,88.00
278,05/26/03 01:00:00 AM,54.59,54.72,92.10
279,05/26/03 02:00:00 AM,52.48,52.48,95.60
280,05/26/03 03:00:00 AM,51.08,50.90,98.10
281,05/26/03 04:00:00 AM,50.38,50.68,102.70
282,05/26/03 05:00:00 AM,51.08,50.95,100.50
283,05/26/03 06:00:00 AM,51.08,51.44,98.50
284,05/26/03 07:00:00 AM,53.19,53.19,92.50
285,05/26/03 08:00:00 AM,57.36,57.52,77.00
286,05/26/03 09:00:00 AM,60.80,60.87,69.20
287,05/26/03 10:00:00 AM,67.66,67.73,55.40
288,05/26/03 11:00:00 AM,70.39,70.70,49.20
289,05/26/03 12:00:00 PM,72.46,72.28,46.60
290,05/26/03 01:00:00 PM,73.15,73.40,45.10
291,05/26/03 02:00:00 PM,71.08,71.08,48.10
292,05/26/03 03:00:00 PM,73.15,72.97,46.10
293,05/26/03 04:00:00 PM,71.08,70.77,50.70
294,05/26/03 05:00:00 PM,67.66,67.42,57.40
295,05/26/03 06:00:00 PM,65.59,65.34,63.60
296,05/26/03 07:00:00 PM,64.22,64.31,65.10
297,05/26/03 08:00:00 PM,63.54,63.57,68.20
298,05/26/03 09:00:00 PM,60.80,61.14,76.10
299,05/26/03 10:00:00 PM,60.12,60.19,79.90
300,05/26/03 11:00:00 PM,59.41,59.25,85.80
301,05/27/03 12:00:00 AM,58.05,58.14,89.20
302,05/27/03 01:00:00 AM,58.05,57.99,90.10
303,05/27/03 02:00:00 AM,58.05,57.92,91.70
304,05/27/03 03:00:00 AM,58.05,57.74,93.70
305,05/27/03 04:00:00 AM,56.66,56.66,100.80
306,05/27/03 05:00:00 AM,56.66,56.53,103.00
307,05/27/03 06:00:00 AM,56.66,56.62,102.70
308,05/27/03 07:00:00 AM,57.36,57.43,98.80
309,05/27/03 08:00:00 AM,59.41,59.25,92.50
310,05/27/03 09:00:00 AM,63.54,63.50,76.50
311,05/27/03 10:00:00 AM,66.27,66.02,68.20
312,05/27/03 11:00:00 AM,72.46,72.19,47.60
313,05/27/03 12:00:00 PM,74.53,74.66,44.60
314,05/27/03 01:00:00 PM,75.22,75.27,44.00
315,05/27/03 02:00:00 PM,72.46,72.75,49.20
316,05/27/03 03:00:00 PM,73.15,73.24,48.10
317,05/27/03 04:00:00 PM,70.39,70.39,52.80
318,05/27/03 05:00:00 PM,69.03,69.31,51.80
319,05/27/03 06:00:00 PM,66.96,67.14,57.40
320,05/27/03 07:00:00 PM,64.90,65.25,60.00
321,05/27/03 08:00:00 PM,62.85,63.07,67.70
322,05/27/03 09:00:00 PM,62.17,62.38,69.70
323,05/27/03 10:00:00 PM,61.48,61.83,71.70
324,05/27/03 11:00:00 PM,60.80,61.05,73.60
325,05/28/03 12:00:00 AM,60.80,60.62,74.10
326,05/28/03 01:00:00 AM,58.73,58.77,90.10
327,05/28/03 02:00:00 AM,56.66,56.75,98.80
328,05/28/03 03:00:00 AM,56.66,56.53,101.50
329,05/28/03 04:00:00 AM,56.66,56.53,96.70
330,05/28/03 05:00:00 AM,56.66,56.53,97.40
331,05/28/03 06:00:00 AM,56.66,56.41,99.50
332,05/28/03 07:00:00 AM,57.36,57.49,97.10
333,05/28/03 08:00:00 AM,59.41,59.68,82.20
334,05/28/03 09:00:00 AM,66.27,65.98,65.60
335,05/28/03 10:00:00 AM,71.08,71.26,41.50
336,05/28/03 11:00:00 AM,73.83,73.89,40.50
337,05/28/03 12:00:00 PM,75.22,75.27,39.00
338,05/28/03 01:00:00 PM,75.22,75.43,40.50
339,05/28/03 02:00:00 PM,78.01,77.70,38.00
340,05/28/03 03:00:00 PM,75.92,75.61,41.00
341,05/28/03 04:00:00 PM,71.76,71.85,46.60
342,05/28/03 05:00:00 PM,68.34,68.63,51.80
343,05/28/03 06:00:00 PM,66.96,67.05,55.90
344,05/28/03 07:00:00 PM,65.59,65.50,57.40
345,05/28/03 08:00:00 PM,64.90,64.78,55.40
346,05/28/03 09:00:00 PM,64.90,64.62,53.30
347,05/28/03 10:00:00 PM,64.90,64.81,51.20
348,05/28/03 11:00:00 PM,64.90,64.99,46.60
349,05/29/03 12:00:00 AM,64.22,63.91,48.10
350,05/29/03 01:00:00 AM,61.48,61.83,55.40
351,05/29/03 02:00:00 AM,60.80,61.14,57.40
352,05/29/03 03:00:00 AM,60.12,59.81,62.60
353,05/29/03 04:00:00 AM,58.05,58.14,70.20
354,05/29/03 05:00:00 AM,57.36,57.70,70.20
355,05/29/03 06:00:00 AM,57.36,57.65,69.70
356,05/29/03 07:00:00 AM,58.73,58.82,67.70
357,05/29/03 08:00:00 AM,62.85,62.98,59.50
358,05/29/03 09:00:00 AM,67.66,67.60,51.80
359,05/29/03 10:00:00 AM,72.46,72.28,41.50
360,05/29/03 11:00:00 AM,75.22,75.40,37.00
361,05/29/03 12:00:00 PM,76.62,76.32,35.50
362,05/29/03 01:00:00 PM,75.22,75.43,37.50
363,05/29/03 02:00:00 PM,75.92,75.96,38.50
364,05/29/03 03:00:00 PM,75.22,75.06,42.50
365,05/29/03 04:00:00 PM,73.83,73.71,44.00
366,05/29/03 05:00:00 PM,73.15,73.06,46.10
367,05/29/03 06:00:00 PM,69.71,70.05,53.30
368,05/29/03 07:00:00 PM,67.66,67.48,57.90
369,05/29/03 08:00:00 PM,66.27,66.02,63.60
370,05/29/03 09:00:00 PM,65.59,65.37,67.20
371,05/29/03 10:00:00 PM,64.90,64.62,67.70
372,05/29/03 11:00:00 PM,61.48,61.52,76.10
373,05/30/03 12:00:00 AM,60.80,60.87,77.50
374,05/30/03 01:00:00 AM,60.12,60.37,79.90
375,05/30/03 02:00:00 AM,60.12,59.81,83.10
376,05/30/03 03:00:00 AM,58.05,57.74,97.80
377,05/30/03 04:00:00 AM,57.36,57.18,101.50
378,05/30/03 05:00:00 AM,56.66,56.84,102.10
379,05/30/03 06:00:00 AM,57.36,57.13,102.70
380,05/30/03 07:00:00 AM,58.05,58.05,100.20
381,05/30/03 08:00:00 AM,60.12,60.37,90.10
382,05/30/03 09:00:00 AM,66.96,66.74,72.20
383,05/30/03 10:00:00 AM,67.66,67.35,68.20
384,05/30/03 11:00:00 AM,72.46,72.16,55.40
385,05/30/03 12:00:00 PM,75.22,75.13,47.60
386,05/30/03 01:00:00 PM,77.31,77.00,45.10
387,05/30/03 02:00:00 PM,75.92,76.08,45.60
388,05/30/03 03:00:00 PM,73.15,73.27,51.20
389,05/30/03 04:00:00 PM,72.46,72.68,53.80
390,05/30/03 05:00:00 PM,71.76,72.07,50.20
391,05/30/03 06:00:00 PM,69.03,69.37,60.00
392,05/30/03 07:00:00 PM,67.66,67.60,61.60
393,05/30/03 08:00:00 PM,64.90,64.99,66.10
394,05/30/03 09:00:00 PM,64.22,64.06,66.60
395,05/30/03 10:00:00 PM,62.17,62.47,70.70
396,05/30/03 11:00:00 PM,61.48,61.74,73.60
397,05/31/03 12:00:00 AM,60.12,60.06,80.80
398,05/31/03 01:00:00 AM,59.41,59.63,80.30
399,05/31/03 02:00:00 AM,58.73,59.04,84.00
400,05/31/03 03:00:00 AM,58.73,58.98,84.00
401,05/31/03 04:00:00 AM,58.73,58.64,86.70
402,05/31/03 05:00:00 AM,58.05,58.05,88.40
403,05/31/03 06:00:00 AM,58.05,57.96,88.00
404,05/31/03 07:00:00 AM,59.41,59.76,80.80
405,05/31/03 08:00:00 AM,63.54,63.32,70.70
406,05/31/03 09:00:00 AM,67.66,67.57,57.40
407,05/31/03 10:00:00 AM,71.08,70.83,51.80
408,05/31/03 11:00:00 AM,73.83,73.58,42.50
409,05/31/03 12:00:00 PM,78.01,77.74,40.00
410,05/31/03 01:00:00 PM,78.01,77.83,44.60
411,05/31/03 02:00:00 PM,76.62,76.32,47.60
412,05/31/03 03:00:00 PM,76.62,76.66,48.10
413,05/31/03 04:00:00 PM,73.83,74.14,50.70
414,05/31/03 05:00:00 PM,68.34,68.25,61.00
415,05/31/03 06:00:00 PM,66.96,66.92,70.20
416,05/31/03 07:00:00 PM,64.90,65.25,72.20
417,05/31/03 08:00:00 PM,62.85,63.10,74.60
418,05/31/03 09:00:00 PM,61.48,61.43,78.90
419,05/31/03 10:00:00 PM,60.12,59.90,83.10
420,05/31/03 11:00:00 PM,59.41,59.13,84.90
421,06/01/03 12:00:00 AM,58.73,58.73,85.30
422,06/01/03 01:00:00 AM,58.05,58.14,85.80
423,06/01/03 02:00:00 AM,58.05,58.21,84.00
424,06/01/03 03:00:00 AM,57.36,57.43,86.70
425,06/01/03 04:00:00 AM,56.66,56.79,88.00
426,06/01/03 05:00:00 AM,55.27,55.53,90.50
427,06/01/03 06:00:00 AM,54.59,54.84,91.70
428,06/01/03 07:00:00 AM,55.98,56.19,88.00
429,06/01/03 08:00:00 AM,60.80,61.09,73.10
430,06/01/03 09:00:00 AM,67.66,67.98,56.40
431,06/01/03 10:00:00 AM,76.62,76.84,41.50
432,06/01/03 11:00:00 AM,77.31,77.52,36.50
433,06/01/03 12:00:00 PM,78.71,78.44,36.00
434,06/01/03 01:00:00 PM,80.82,80.56,37.50
435,06/01/03 02:00:00 PM,78.71,79.02,44.00
436,06/01/03 03:00:00 PM,79.41,79.11,44.60
437,06/01/03 04:00:00 PM,75.92,76.14,50.20
438,06/01/03 05:00:00 PM,73.83,73.58,55.40
439,06/01/03 06:00:00 PM,70.39,70.48,59.00
440,06/01/03 07:00:00 PM,66.96,67.01,70.20
441,06/01/03 08:00:00 PM,65.59,65.80,75.60
442,06/01/03 09:00:00 PM,64.22,64.40,81.70
443,06/01/03 10:00:00 PM,63.54,63.50,84.90
444,06/01/03 11:00:00 PM,62.85,63.03,84.50
445,06/02/03 12:00:00 AM,62.85,62.67,84.90
446,06/02/03 01:00:00 AM,62.17,62.47,85.80
447,06/02/03 02:00:00 AM,62.17,62.20,84.90
448,06/02/03 03:00:00 AM,62.17,62.04,86.70
449,06/02/03 04:00:00 AM,62.17,61.95,84.00
450,06/02/03 05:00:00 AM,61.48,61.36,85.30
451,06/02/03 06:00:00 AM,61.48,61.48,84.50
452,06/02/03 07:00:00 AM,63.54,63.32,81.30
453,06/02/03 08:00:00 AM,66.27,66.45,72.60
454,06/02/03 09:00:00 AM,71.08,70.83,58.50
455,06/02/03 10:00:00 AM,77.31,77.14,45.10
456,06/02/03 11:00:00 AM,78.71,79.02,38.50
457,06/02/03 12:00:00 PM,80.11,80.29,36.00
458,06/02/03 01:00:00 PM,75.22,75.06,46.10
459,06/02/03 02:00:00 PM,64.90,65.03,78.00
460,06/02/03 03:00:00 PM,63.54,63.63,82.20
461,06/02/03 04:00:00 PM,60.80,60.75,88.40
462,06/02/03 05:00:00 PM,62.85,62.60,84.50
463,06/02/03 06:00:00 PM,62.85,62.60,89.70
464,06/02/03 07:00:00 PM,62.85,62.98,89.70
465,06/02/03 08:00:00 PM,61.48,61.57,87.10
466,06/02/03 09:00:00 PM,60.80,60.87,89.70
467,06/02/03 10:00:00 PM,60.80,60.67,88.40
468,06/02/03 11:00:00 PM,60.12,60.31,89.70
469,06/03/03 12:00:00 AM,60.12,60.31,92.10
470,06/03/03 01:00:00 AM,59.41,59.59,96.70
471,06/03/03 02:00:00 AM,59.41,59.34,94.90
472,06/03/03 03:00:00 AM,58.73,58.77,96.00
473,06/03/03 04:00:00 AM,58.05,58.39,93.70
474,06/03/03 05:00:00 AM,57.36,57.49,94.50
475,06/03/03 06:00:00 AM,57.36,57.61,94.10
